Rec Id,Src Acct Code,Src Acct Desc,Xref Key,Acct Id,Property Id,Property Name,Acct Code,Acct Suffix,Acct Name,Multiplier,Created,Updated
"25,438",RevPar,RevPar,,441,0,,90003-420,,RevPAR,1.00,03/23/2021,12/28/2021
"25,439",Total Rm Rev,Total Rm Rev,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,441",REF-Rev,REFERRAL,,0,0,,,,,1.00,03/30/2021,03/30/2021
"25,442",REF-Stat,REFERRAL,,0,0,,,,,1.00,03/30/2021,03/30/2021
"25,443",GL DIRECT BILL XFERS REV,GL DIRECT BILL XFERS REV,,0,0,,,,,1.00,03/31/2021,03/31/2021
"25,444",ATBI,Adjust TBID,,455,1,Marina Beach Motel,20103-662,,Tax Payable: Tourist Tax Payable,1.00,04/14/2021,02/05/2024
"25,445",DX,DB CREDIT,,450,4,Best Western University Lodge,10003-657,,Deposits in Transit : BW Points/CLC/Travel Card Reimbursements,1.00,01/07/2021,02/24/2022
"25,446",VISCTR-Rev,VISITOR CENTER,,0,0,,,,,1.00,07/14/2021,07/14/2021
"25,447",KEYT-Rev,KEYT or KCOY,,0,0,,,,,1.00,08/19/2021,08/19/2021
"25,448",NCEAS-Rev,NCEAS,,0,0,,,,,1.00,08/22/2021,08/22/2021
"25,449",GOOGL-Rev,EGoogle,,0,0,,,,,1.00,09/24/2021,09/24/2021
"25,450",GOOGL-Stat,EGoogle,,0,0,,,,,1.00,09/24/2021,12/30/2021
"25,451",TBID,TOURISM BUS IMP,,455,0,,20103-662,,Tax Payable: Tourist Tax Payable,1.00,09/24/2021,02/05/2024
"25,453",CHECKS,CHECKS,,457,6,Sawtooth Inn,60010-667,,Cash Over/Under,-1.00,01/07/2021,10/20/2021
"25,454",CK,PAYMENT CHECK,GstCheck,0,6,Sawtooth Inn,,,,-1.00,01/07/2021,10/20/2021
"25,455",CK,PAYMENT CHECK,GstCheck,0,1,Marina Beach Motel,,,,-1.00,01/07/2021,10/20/2021
"25,456",CR,REFUND CASH,GstCash,0,6,Sawtooth Inn,,,,-1.00,01/07/2021,10/20/2021
"25,457",AX,PAYMENT AMEX,GstPMSAX,0,6,Sawtooth Inn,,,,-1.00,01/07/2021,10/20/2021
